%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
125.0, -420.7705341647379, 30.64848013687879, -473.8696337356232, 39.07821463700384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667045534138621E9, 0.0, 2022-10-29 14:12:14.138
125.0, -528.8873019837774, -276.47584412433207, -147.030426857993, -444.96955682802945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667045534138621E9, 0.0, 2022-10-29 14:12:14.138
0.0, -2368.0504233934917, -1904.5851913345978, -4405.903209749144, -2234.2181034791283, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455341645737E9, 0.0, 2022-10-29 14:12:14.164
101.0, -1950.569131239783, -1507.9538414338604, -4546.016691639088, -1766.693210018333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455341779177E9, 0.0, 2022-10-29 14:12:14.177
101.0, -1646.5638835416175, -1351.4278085883707, -4433.830912668258, -1747.2307706489228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455341779177E9, 0.0, 2022-10-29 14:12:14.177
102.0, -1325.4280240964144, -1504.954441669397, -4432.9800854283385, -1371.7840840471908, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455341949258E9, 0.0, 2022-10-29 14:12:14.194
102.0, -1415.5558731285855, -1921.0856299391016, -4421.833313610405, -1273.8791130571626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455341949258E9, 0.0, 2022-10-29 14:12:14.194
103.0, -950.144023142755, -1503.7651534834877, -4536.8819859973155, -1743.3506244448945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455341953769E9, 0.0, 2022-10-29 14:12:14.195
103.0, -600.0295488908887, -1286.7836378542706, -4408.408942719456, -1696.994564494118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455341953769E9, 0.0, 2022-10-29 14:12:14.195
104.0, -289.0475178253837, -1444.2932643881068, -4423.353582942393, -1332.9732722570188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455342078345E9, 0.0, 2022-10-29 14:12:14.207
104.0, -396.2779293549247, -1885.6762571586296, -4409.58514125552, -1258.2856001919135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455342078345E9, 0.0, 2022-10-29 14:12:14.207
105.0, -870.207401489839, -1431.5102863395587, -4487.52278638212, -1717.5023059011437, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667045534223412E9, 0.0, 2022-10-29 14:12:14.223
105.0, -536.4325501443818, -1212.4643459348008, -4403.999600671697, -1672.9563575289212, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667045534223412E9, 0.0, 2022-10-29 14:12:14.223
106.0, -237.85576723190024, -1405.5965195465833, -4412.133883075323, -1311.3622603630647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455342243063E9, 0.0, 2022-10-29 14:12:14.224
106.0, -322.6879179268144, -1828.6315631344914, -4377.7062340332195, -1232.0894709522836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455342243063E9, 0.0, 2022-10-29 14:12:14.224
107.0, -776.1750969039276, -1365.0111252274364, -4432.0750296390615, -1658.7840066468343, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667045534237604E9, 0.0, 2022-10-29 14:12:14.237
107.0, -507.8634543828666, -1210.4560196585953, -4423.241385943722, -1653.252694612369, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667045534237604E9, 0.0, 2022-10-29 14:12:14.237
108.0, -196.40271612303331, -1382.5325565198436, -4418.871312845498, -1300.7951730382629, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455342696512E9, 0.0, 2022-10-29 14:12:14.269
108.0, -272.95472831605, -1788.4463381106034, -4347.160601145122, -1203.0285783465952, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455342696512E9, 0.0, 2022-10-29 14:12:14.269
109.0, -758.4928499134257, -1346.1321102511138, -4375.275299062021, -1645.8869616496377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667045534270367E9, 0.0, 2022-10-29 14:12:14.270
109.0, -557.6041237935424, -1243.3446998689324, -4469.4515897962265, -1685.068023535423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667045534270367E9, 0.0, 2022-10-29 14:12:14.270
110.0, -230.8322351151146, -1395.0911405710503, -4438.251474415883, -1303.8282319023274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455342710867E9, 0.0, 2022-10-29 14:12:14.271
110.0, -293.3820618740283, -1795.1220595315099, -4356.233598437626, -1200.0254386821762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670455342710867E9, 0.0, 2022-10-29 14:12:14.271
