%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
2.0, 222.63437441224232, 169.44925714237615, -102.4956981856376, -102.07308949064463, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453239514031E9, 0.0, 2022-10-29 14:08:43.951
2.0, 136.18658693647012, 190.0579758482054, -166.82571732345968, -233.37723703496158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453239514031E9, 0.0, 2022-10-29 14:08:43.951
3.0, 19.200646372511983, 13.158837994094938, 37.89266635105014, -442.9257015022449, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453239657538E9, 0.0, 2022-10-29 14:08:43.965
3.0, 258.8777448828332, 210.30579420831054, -91.75470551289618, -543.293396613095, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453239657538E9, 0.0, 2022-10-29 14:08:43.965
4.0, 182.4379296884872, 142.4004307128489, -327.3459633216262, -493.29654405545443, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453239665105E9, 0.0, 2022-10-29 14:08:43.966
4.0, 219.37879150081426, 247.85251981345937, -110.17558274464682, -665.2908031176776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453239665105E9, 0.0, 2022-10-29 14:08:43.966
5.0, 10.421231226529926, 488.9451704570092, 68.02691024402156, -455.83396619930863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453239802313E9, 0.0, 2022-10-29 14:08:43.980
5.0, -219.24976495234296, 697.2407684391364, -73.03837618464604, -571.7035466264933, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453239802313E9, 0.0, 2022-10-29 14:08:43.980
6.0, -275.08647129079327, 649.3438697066158, -293.02677137823775, -501.38033780967817, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453239959137E9, 0.0, 2022-10-29 14:08:43.995
6.0, -248.5948899546638, 801.7691022506915, -64.94710263051093, -634.6778520303778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453239959137E9, 0.0, 2022-10-29 14:08:43.995
7.0, -442.4095953083597, 1027.344907978084, 23.464132321998477, -466.56186922220513, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453239963903E9, 0.0, 2022-10-29 14:08:43.996
7.0, -246.92315467447042, 1174.1490708887577, -111.93894557375461, -616.8759282412939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453239963903E9, 0.0, 2022-10-29 14:08:43.996
8.0, -307.629210755229, 1114.905315690674, -323.7033007647842, -555.1657090224326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453240099907E9, 0.0, 2022-10-29 14:08:44.009
8.0, -160.82130794459954, 885.3726958101615, -483.4867864716798, -558.1950279865414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453240099907E9, 0.0, 2022-10-29 14:08:44.009
9.0, 25.53042704751715, 995.84186070133, -412.5595838120207, -475.898529461585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670453240256689E9, 0.0, 2022-10-29 14:08:44.025
