%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -487.1313189784996, 68.6813927362673, -398.4788604788482, -120.28266237489879, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485264804163E9, 0.0, 2022-10-29 15:02:06.480
1.0, -490.4747895388864, -93.96311643673107, -286.812927601859, -356.61255042487755, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485264939356E9, 0.0, 2022-10-29 15:02:06.493
1.0, -397.62242338899523, -312.8800302930176, -81.6887647821568, -474.18752523185685, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485264939356E9, 0.0, 2022-10-29 15:02:06.493
2.0, -428.35131137492135, -145.6204845746979, 63.335205749608576, -599.9379213419743, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265105684E9, 0.0, 2022-10-29 15:02:06.510
2.0, -482.17782148718834, 58.162924110889435, 89.49580593965948, -605.8488332219422, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265105684E9, 0.0, 2022-10-29 15:02:06.510
3.0, -517.9125655638054, -88.57205065060407, 205.9114117603749, -360.9115654239431, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265112815E9, 0.0, 2022-10-29 15:02:06.511
3.0, -377.65696747554466, -320.7282103500329, 412.9279639576562, -467.8839238565415, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265112815E9, 0.0, 2022-10-29 15:02:06.511
4.0, -431.1992451911792, -145.4577989266254, 552.6076174527407, -599.4685638975352, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265236933E9, 0.0, 2022-10-29 15:02:06.523
4.0, -502.0796991013922, 57.31583677092567, 576.3298028716817, -608.0535042458214, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265236933E9, 0.0, 2022-10-29 15:02:06.523
5.0, -504.951942267362, -95.31696022069082, 697.4464629366994, -849.1966435387731, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265393934E9, 0.0, 2022-10-29 15:02:06.539
5.0, -393.50479353778064, -317.8615770339966, 909.5268396739848, -946.5537191852927, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265393934E9, 0.0, 2022-10-29 15:02:06.539
6.0, -433.1421232181601, -143.24190820287913, 1048.7577051743865, -1085.2329494422302, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265401273E9, 0.0, 2022-10-29 15:02:06.540
6.0, -489.6763208983466, 74.03131962288171, 1070.4640845172107, -1100.3140960135497, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265401273E9, 0.0, 2022-10-29 15:02:06.540
7.0, -448.7973444326781, -61.820546267554164, 1175.5664929719642, -1336.1278778696433, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265537002E9, 0.0, 2022-10-29 15:02:06.553
7.0, -419.07448953483254, 144.85380508378148, 1408.9717792565934, -1427.8564040828496, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265537002E9, 0.0, 2022-10-29 15:02:06.553
8.0, -444.98264647787437, 339.36600177921355, 1542.64515342284, -1582.5012672506273, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265694652E9, 0.0, 2022-10-29 15:02:06.569
8.0, -486.94619393069297, 545.1278175413609, 1561.4680698998272, -1579.7412210833281, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265694652E9, 0.0, 2022-10-29 15:02:06.569
9.0, -499.4935582820326, 398.7406534757465, 1675.695834246464, -1337.6612368514761, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667048526570048E9, 0.0, 2022-10-29 15:02:06.570
9.0, -389.2506573381834, 171.00131562398747, 1883.52394473413, -1442.348516411148, -0.01600000075995922, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667048526570048E9, 0.0, 2022-10-29 15:02:06.570
10.0, -444.19913743715733, 351.02513989107683, 2026.4086924912408, -1577.0372734153643, -0.01600000075995922, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265836608E9, 0.0, 2022-10-29 15:02:06.583
10.0, -488.60109966108575, 557.1796451485716, 2052.0270071877167, -1583.0267231944017, -0.01600000075995922, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265836608E9, 0.0, 2022-10-29 15:02:06.583
11.0, -494.7457552882843, 385.25270428555086, 2169.5832824949175, -1340.9130798629485, -0.01600000075995922, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265993454E9, 0.0, 2022-10-29 15:02:06.599
11.0, -379.23333530686796, 185.04277000762522, 2371.7678839494474, -1440.6786510809325, -0.01600000075995922, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485265993454E9, 0.0, 2022-10-29 15:02:06.599
12.0, -429.72385465865955, 356.18433187995106, 2515.524028396234, -1586.1906785569154, -0.01600000075995922, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485266001148E9, 0.0, 2022-10-29 15:02:06.600
12.0, -487.81011082045734, 552.2747663566843, 2542.107237281278, -1581.5419829119928, -0.01600000075995922, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670485266001148E9, 0.0, 2022-10-29 15:02:06.600
