%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -1807.2823442374356, -2033.7575959041715, -2223.7576033030637, -572.3486793688498, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670526156983109E9, 0.0, 2022-10-29 16:10:15.698
1.0, -1624.8182352492586, -1799.765145326499, -2100.264236816205, -353.0278563173488, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667052615729417E9, 0.0, 2022-10-29 16:10:15.729
1.0, -1756.9694701335393, -1753.5437217741273, -1864.2952491119504, -581.5937120593153, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667052615729417E9, 0.0, 2022-10-29 16:10:15.729
2.0, -1852.2004126552492, -1826.1220902642235, -2001.1961569399573, -772.4763358477503, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670526157307317E9, 0.0, 2022-10-29 16:10:15.730
2.0, -1744.440805281978, -1990.1952412202954, -2163.2273225202225, -943.7824533181265, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670526157307317E9, 0.0, 2022-10-29 16:10:15.730
3.0, -1626.6545261275023, -1838.6788043654524, -2090.398380733095, -766.9655932630412, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670526157422028E9, 0.0, 2022-10-29 16:10:15.742
3.0, -1760.9449837864377, -1786.050932188984, -1866.531709285453, -544.5425231982954, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670526157422028E9, 0.0, 2022-10-29 16:10:15.742
4.0, -1850.5361571749672, -1853.0568497451022, -1989.789462075103, -737.2315186653286, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670526157427747E9, 0.0, 2022-10-29 16:10:15.742
4.0, -1718.4784197895788, -1973.7658607149497, -2123.1842136946507, -860.016174110584, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670526157427747E9, 0.0, 2022-10-29 16:10:15.742
5.0, -1619.1485469164327, -1836.8686927868985, -2064.5818513389677, -706.0276633850299, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667052615757152E9, 0.0, 2022-10-29 16:10:15.757
5.0, -1761.5508475792594, -1800.8459764136933, -1851.7628443604335, -511.814658686053, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667052615757152E9, 0.0, 2022-10-29 16:10:15.757
6.0, -1837.7830983260646, -1863.1284003257751, -1977.2607972235419, -716.7593063078821, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667052615757893E9, 0.0, 2022-10-29 16:10:15.757
6.0, -1702.5950646777637, -1968.8441523732617, -2089.132424598094, -801.8495100997388, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667052615757893E9, 0.0, 2022-10-29 16:10:15.757
7.0, -1597.9358343677595, -1834.4003588161431, -2045.9122707601637, -653.0370209128596, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670526157713943E9, 0.0, 2022-10-29 16:10:15.771
7.0, -1781.7051684404723, -1846.1529944268987, -1879.4867227319628, -481.18487804895267, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670526157713943E9, 0.0, 2022-10-29 16:10:15.771
