%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, 13261.341172080487, 13539.445742635522, 13090.79051440116, 10248.651673124637, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667052560872038E9, 0.0, 2022-10-29 16:09:20.872
1.0, 13090.581080003642, 13729.565426832996, 13126.96469672257, 10204.958421942312, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670525608854048E9, 0.0, 2022-10-29 16:09:20.885
1.0, 13082.906805294566, 13642.111606269144, 13211.450906671584, 10079.567056227941, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670525608854048E9, 0.0, 2022-10-29 16:09:20.885
2.0, 13111.004673661664, 13730.107712326571, 13117.173638638575, 9933.91478250362, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667052560902128E9, 0.0, 2022-10-29 16:09:20.902
2.0, 13234.4999100985, 13513.19912474649, 13049.838609886356, 9749.490965938661, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667052560902128E9, 0.0, 2022-10-29 16:09:20.902
3.0, 13297.578932701144, 13438.66291862959, 12843.732723328285, 9910.431950681843, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667052560902854E9, 0.0, 2022-10-29 16:09:20.902
3.0, 13506.27469997853, 13476.665912029333, 12661.147067591548, 10060.310311356094, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667052560902854E9, 0.0, 2022-10-29 16:09:20.902
4.0, 13565.828866872936, 13693.744665057398, 12585.838572133798, 9840.881031205878, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670525609152155E9, 0.0, 2022-10-29 16:09:20.915
4.0, 13660.212722054683, 13490.583949714433, 12480.652015930042, 10081.450095855631, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670525609152155E9, 0.0, 2022-10-29 16:09:20.915
5.0, 13626.448905254714, 13277.402172440197, 12700.66098057339, 10312.734858865384, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670525609309492E9, 0.0, 2022-10-29 16:09:20.930
