%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
2.0, 0.03552904957905412, 72.21559819439426, -148.97517483495176, -133.44711021892726, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667046959585306E9, 0.0, 2022-10-29 14:35:59.585
2.0, 203.4112886399962, 295.8167367451824, -27.551842973567545, -102.44520953623578, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667046959585306E9, 0.0, 2022-10-29 14:35:59.585
3.0, -13.151358194183558, 473.31425859220326, -0.6283031925559044, 16.386371655855328, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469595988045E9, 0.0, 2022-10-29 14:35:59.598
3.0, -16.70426315208897, 537.672326979693, -180.13228136580437, -160.04714865377173, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469595988045E9, 0.0, 2022-10-29 14:35:59.598
4.0, -124.63590592332184, 487.1593682281673, -253.64188494486734, -278.76279294723645, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469595995848E9, 0.0, 2022-10-29 14:35:59.599
4.0, -306.5016309185885, 271.79161942983046, -48.08202378032729, -123.13807599106804, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469595995848E9, 0.0, 2022-10-29 14:35:59.599
5.0, -512.5925578768365, 459.1886564595625, -0.09536744887009263, -0.805948440451175, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596131825E9, 0.0, 2022-10-29 14:35:59.613
5.0, -527.0323116057552, 525.551311223302, -189.4091032058932, -156.91685239085928, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596131825E9, 0.0, 2022-10-29 14:35:59.613
6.0, -606.3611995158717, 491.7931042732671, -247.02787187322974, -277.68570175999776, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596287956E9, 0.0, 2022-10-29 14:35:59.628
6.0, -781.9064935860224, 285.6404689657502, -42.915351991541684, -119.87688322970644, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596287956E9, 0.0, 2022-10-29 14:35:59.628
7.0, -984.650210083928, 482.06562448851764, -4.173728350549936, 24.41593686072156, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596295075E9, 0.0, 2022-10-29 14:35:59.629
7.0, -958.3231843458489, 572.9059244622476, -157.23661383707076, -99.61410526977852, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596295075E9, 0.0, 2022-10-29 14:35:59.629
8.0, -1052.791187276598, 535.8566055512056, -258.8104266836308, -304.7625774391927, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596432252E9, 0.0, 2022-10-29 14:35:59.643
8.0, -1250.7646613810211, 320.14478595694527, -19.55406691832468, -72.61950738960877, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596432252E9, 0.0, 2022-10-29 14:35:59.643
9.0, -1459.017250513658, 498.0462169991806, -13.07656019506976, -26.81695263227448, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596588628E9, 0.0, 2022-10-29 14:35:59.658
9.0, -1425.9546649553813, 591.100537746679, -121.3354442124255, -106.89943038346246, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596588628E9, 0.0, 2022-10-29 14:35:59.658
10.0, -1538.4489856725559, 544.7800068454817, -252.43202730920166, -309.51973018283024, 0.01600000075995922, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596594856E9, 0.0, 2022-10-29 14:35:59.659
10.0, -1719.873402473051, 341.15554390801117, -480.38079955847934, -82.68357817037031, 0.01600000075995922, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596594856E9, 0.0, 2022-10-29 14:35:59.659
11.0, -1946.5711781871505, 505.00243091676384, -506.18797920271754, -47.835190383251756, 0.01600000075995922, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596731787E9, 0.0, 2022-10-29 14:35:59.673
11.0, -1888.0922325300053, 635.8895796160214, -601.0243622791022, -131.98293938627467, 0.01600000075995922, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596731787E9, 0.0, 2022-10-29 14:35:59.673
12.0, -2000.7810280448757, 568.2067401679233, -712.6884252061136, -302.0436701714061, 0.0, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596888092E9, 0.0, 2022-10-29 14:35:59.688
12.0, -2186.749423291534, 358.4937201025896, -475.8779600118287, -91.99592906003818, 0.0, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596888092E9, 0.0, 2022-10-29 14:35:59.688
13.0, -2417.2955560600385, 522.7744355062023, -472.7252243491821, -4.964717191178352, 0.0, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596895373E9, 0.0, 2022-10-29 14:35:59.689
13.0, -2365.1183418282308, 647.2626153812744, -605.7123268735595, -143.5354903494008, 0.0, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469596895373E9, 0.0, 2022-10-29 14:35:59.689
14.0, -2467.5411119647324, 590.8742737993598, -687.3786522559822, -279.27889914112166, 0.0, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667046959703117E9, 0.0, 2022-10-29 14:35:59.703
14.0, -2662.432908505667, 370.65213485853747, -476.99058024864644, -80.20776439970359, 0.0, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.667046959703117E9, 0.0, 2022-10-29 14:35:59.703
15.0, -2888.55473962659, 538.6503108181059, -461.90756372734904, 3.375259710010141, 0.0, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469597187676E9, 0.0, 2022-10-29 14:35:59.718
15.0, -2835.5584873044863, 650.7594218398444, -598.0436620144174, -147.862554598134, 0.0, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469597187676E9, 0.0, 2022-10-29 14:35:59.718
16.0, -2944.529822263401, 602.0939736664295, -687.7769516012631, -252.53861445793882, 0.0, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6670469597195508E9, 0.0, 2022-10-29 14:35:59.719
